date,date_posted,headline,text
2020-07-12 00:00:00,92 days ,South Korea launches safety probe into Tesla vehicles,"South Korea said it is investigating suspected safety issues with vehicles made by U.S. automaker Tesla Inc <TSLA.O>, which is competing strongly with Hyundai Motor Co <005380.KS> in the South Korean electric vehicle market."
2020-07-12 00:00:00,92 days ,Tesla says it took government payroll benefits to offset coronavirus shutdowns,"Tesla Inc <TSLA.O> received payroll related benefits from the government in the first half of the year to help reduce the impact of the coronavirus pandemic on its business, the electric carmaker said in a filing on Tuesday."
2020-07-12 00:00:00,92 days ,Tesla hiring in Shanghai as production ramps up,"Tesla Inc <TSLA.O> has launched a hiring spree in Shanghai with plans to bring on designers at its China studio and about 1,000 factory workers, job posts show, as the U.S. electric vehicle maker ramps up production in the world's biggest auto market."
2020-07-12 00:00:00,92 days ,Column: Tesla boss Musk's desire for more nickel could be a non-starter: Andy Home,Elon Musk faces something of a reality check after his call this week for more nickel mines to feed the batteries that Tesla and other carmakers need to power their electric vehicles.
2020-07-12 00:00:00,92 days ,"'Please mine more nickel,' Musk urges as Tesla boosts production","Tesla Inc <TSLA.O> boss Elon Musk urged miners to produce more nickel, a key ingredient in the batteries that power the company's electric cars, warning the current cost of batteries remained a big hurdle to the company's growth."
2020-07-12 00:00:00,92 days ,"'Please mine more nickel,' Musk urges as Tesla boosts production","Tesla Inc boss Elon Musk urged miners to produce more nickel, a key ingredient in the batteries that power the company's electric cars, warning the current cost of batteries remained a big hurdle to the company's growth."
2020-07-12 00:00:00,92 days ,"Tesla's profit sets up S&P 500 entry, while Musk pushes for growth","Tesla Inc <TSLA.O> on Wednesday posted a second-quarter profit as cost cuts and strong deliveries helped offset coronavirus-related factory shutdowns, sending its stock up 4.4% in after-hours trading and clearing a hurdle that could lead to the electric carmaker's inclusion..."
2020-07-12 00:00:00,92 days ,Tesla chooses Texas for new Cybertruck factory,"Tesla will build its $1.1 billion Cybertruck factory near Austin, Texas, ending an intense competition with neighboring Oklahoma, the electric carmaker's chief executive, Elon Musk, announced late on Wednesday."
2020-07-12 00:00:00,92 days ,Tesla selects Texas as site for Cybertruck factory,"Tesla will build its next factory near Austin, Texas, Chief Executive Elon Musk announced late on Wednesday."
2020-07-12 00:00:00,92 days ,Breakingviews - Tesla’s wacky valuation has a link to reality,"Tesla investors have put the hopes for a world of electric vehicles almost exclusively on Elon Musk’s shoulders. His Palo Alto, California-based car company, which reported a $104 million second-quarter profit on Wednesday afternoon, is close to topping $300 billion in market..."
2020-07-12 00:00:00,92 days ,Tesla extends rally as traders bet on potential S&P 500 entry,Tesla Inc's <TSLA.O> shares extended their rally on Wednesday ahead of a quarterly report from the electric car maker that might clear the way for it to join the S&P 500 and attract over $40 billion in new demand for the stock.
2020-07-12 00:00:00,92 days ,Tesla quarterly revenue beats estimates,"Tesla Inc on Wednesday beat analysts' estimates for second-quarter revenue, helped by better-than-expected vehicle deliveries despite disruptions caused by the coronavirus crisis."
2020-07-12 00:00:00,92 days ,Tesla hiring servicing staff in 'unsupportive' Singapore,"Tesla Inc <TSLA.O> has advertised for servicing staff in Singapore, a country previously criticised by Chief Executive Elon Musk as unsupportive of electric vehicles."
2020-07-12 00:00:00,92 days ,How Tesla defined a new era for the global auto industry,"Tesla Inc's <TSLA.O> rapid rise to become the world's most valuable carmaker could mark the start of a new era for the global auto industry, defined by a Silicon Valley approach to software that is overtaking old-school manufacturing know-how."
2020-07-12 00:00:00,92 days ,Tesla's Musk qualifies for $2.1 billion payday,"Tesla Chief Executive Elon Musk qualified on Tuesday for a payout worth an unprecedented $2.1 billion, his second jackpot since May from the electric car maker following its massive stock surge."
2020-07-12 00:00:00,92 days ,Profit or not? Analysts divided ahead of Tesla's second-quarter results,"When Tesla Inc <TSLA.O> reports second-quarter results after the bell on Wednesday, investors will be keen to see whether the electric carmaker has delivered a profit during the global pandemic that has sunk most of its internal combustion rivals deep in red ink."
2020-07-12 00:00:00,92 days ,Tesla share rally propels some early fan investors to riches,"Convinced of Tesla Inc's <TSLA.O> imminent meteoric rise, Orestis Palampougioukis, a Netherlands-based software developer, took out a 43,000 euro ($49,000) loan in early October to invest it all in the electric carmaker, which at the time was trading at around $230 a share."
