date,date_posted,headline,text
2020-07-13,92 days ,"demand for tesla vehicles remained strong during pandemic, musk says","tesla inc  chief executive elon musk said in a podcast released on friday that demand for the company's electric vehicles remained strong throughout the coronavirus pandemic, with consumers preferring to shop online."
2020-07-13,92 days ,tesla demand remained strong during pandemic with consumers shopping online -musk,"tesla inc chief executive elon musk in a podcast released on friday said that demand for the company's electric vehicles remained strong throughout the coronavirus pandemic, with consumers preferring to shop online instead of crowding into dealership shops."
2020-07-13,92 days ,tesla battery supplier lg chem shares jump 10% on upbeat outlook,"lg chem, an electric vehicle battery supplier for tesla, volkswagen <vowg_p.de> and others, said on friday it expects profitability in its battery business to rise in the second half, helping shares surge nearly 10%."
2020-07-13,92 days ,"computing is the new horsepower, carmaker audi says",carmakers that once competed mainly over the power of their engines are now vying over a much less tangible sort of power as they race to develop automated vehicles - computing.
2020-07-13,92 days ,exclusive: panasonic aims to boost energy density in tesla batteries by 20% - executive,"panasonic corp  plans to boost the energy density of ""2170"" battery cells it supplies to tesla inc  by 20% in five years and commercialize a cobalt-free version ""in two to three years"", the head of its u.s. ev battery business said."
2020-07-13,92 days ,tesla's musk says open to supplying batteries to other automakers,tesla inc  chief executive officer elon musk said on tuesday that the company is open to licensing software and supplying powertrains and batteries.
2020-07-13,92 days ,south korea launches safety probe into tesla vehicles,"south korea said it is investigating suspected safety issues with vehicles made by u.s. automaker tesla inc , which is competing strongly with hyundai motor co  in the south korean electric vehicle market."
2020-07-13,92 days ,tesla says it took government payroll benefits to offset coronavirus shutdowns,"tesla inc  received payroll related benefits from the government in the first half of the year to help reduce the impact of the coronavirus pandemic on its business, the electric carmaker said in a filing on tuesday."
2020-07-13,92 days ,tesla hiring in shanghai as production ramps up,"tesla inc  has launched a hiring spree in shanghai with plans to bring on designers at its china studio and about 1,000 factory workers, job posts show, as the u.s. electric vehicle maker ramps up production in the world's biggest auto market."
2020-07-13,92 days ,column: tesla boss musk's desire for more nickel could be a non-starter: andy home,elon musk faces something of a reality check after his call this week for more nickel mines to feed the batteries that tesla and other carmakers need to power their electric vehicles.
2020-07-13,92 days ,"'please mine more nickel,' musk urges as tesla boosts production","tesla inc  boss elon musk urged miners to produce more nickel, a key ingredient in the batteries that power the company's electric cars, warning the current cost of batteries remained a big hurdle to the company's growth."
2020-07-13,92 days ,"'please mine more nickel,' musk urges as tesla boosts production","tesla inc boss elon musk urged miners to produce more nickel, a key ingredient in the batteries that power the company's electric cars, warning the current cost of batteries remained a big hurdle to the company's growth."
2020-07-13,92 days ,"tesla's profit sets up s&p 500 entry, while musk pushes for growth","tesla inc  on wednesday posted a second-quarter profit as cost cuts and strong deliveries helped offset coronavirus-related factory shutdowns, sending its stock up 4.4% in after-hours trading and clearing a hurdle that could lead to the electric carmaker's inclusion..."
2020-07-13,92 days ,tesla chooses texas for new cybertruck factory,"tesla will build its $1.1 billion cybertruck factory near austin, texas, ending an intense competition with neighboring oklahoma, the electric carmaker's chief executive, elon musk, announced late on wednesday."
2020-07-13,92 days ,tesla selects texas as site for cybertruck factory,"tesla will build its next factory near austin, texas, chief executive elon musk announced late on wednesday."
